序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
387,603038, 华立股份,16.93,0.71,0.193,0.967,17.46,0.445,-0.697,-0.086,0.338,2,3.0,5,4.32,3.05,1.27,20.48,14.72,5.76
389,601975, 招商南油,3.05,-0.33,0.094,0.171,17.37,-0.487,-0.188,-1.467,-0.326,1,1.0,2,31.29,20.71,10.57,24.9,29.96,-5.07
391,420, 吉林化纤,3.74,-1.58,-0.033,0.878,17.3,0.359,3.005,-0.354,0.807,0,2.0,3,6.88,6.97,-0.09,24.85,26.08,-1.23
393,2232, 启明信息,21.71,2.16,0.249,1.771,17.24,-0.114,-0.892,-0.927,-3.433,2,2.0,4,3.66,4.47,-0.81,26.64,21.41,5.24
394,601089, 福元医药,15.03,-1.57,0.032,0.447,17.22,0.005,0.667,-0.174,1.062,1,3.0,3,10.53,2.61,7.91,12.88,17.61,-4.72
399,600400, 红豆股份,2.37,0.42,0.193,-0.016,17.06,0.201,0.121,0.607,-0.009,1,4.0,6,6.66,2.98,3.67,33.88,19.76,14.12
400,300466, 赛摩智能,8.35,2.58,0.496,0.997,17.03,-0.458,1.183,-0.319,4.101,1,2.0,4,4.77,1.3,3.47,24.62,17.96,6.66
401,545, 金浦钛业,2.25,0.9,0.454,0.037,17.0,0.885,-0.164,1.022,-1.159,2,4.0,6,9.94,4.84,5.1,33.81,22.62,11.19
402,688027, 国盾量子,303.09,2.01,0.261,0.28,16.88,0.277,0.522,-0.417,0.046,1,3.0,4,20.57,10.75,9.82,34.66,36.51,-1.85
403,601319, 中国人保,6.88,-1.43,0.0,0.046,16.87,-0.008,0.089,0.006,0.18,2,3.0,6,15.51,14.82,0.69,23.45,23.86,-0.41
405,601992, 金隅集团,1.69,-1.17,-0.001,0.117,16.77,0.003,0.189,0.123,0.389,0,3.0,7,9.36,9.03,0.33,29.47,30.08,-0.61
407,300987, 川网传媒,16.75,0.96,0.523,1.403,16.72,0.317,-0.598,-0.702,0.097,3,3.0,5,6.18,5.67,0.51,24.87,17.1,7.77
408,601555, 东吴证券,7.98,0.0,0.052,0.078,16.71,0.076,0.477,-0.266,0.182,3,3.0,4,9.84,11.01,-1.16,36.86,27.99,8.87
